"Connector Name","Connector PartNumber","Pin Name","Pin PreferredSignal","Signal Name","Wire WireColor","Wire WireCSA","MulticoreInnerToOutter1","MulticoreInnerToOutter2","MulticoreInnerToOutter4","MulticoreInnerToOutter3","MulticoreInnerToOutter5","MulticoreInnerToOutter6","MulticoreInnerToOutter7","MulticoreInnerToOutter8","MulticoreInnerToOutter9"
"TO_152_F/141_LH","","13","","EQ_BODY_ECU_MM","L","0.35"
"TO_152_F/141_LH","","26","","EQ_OUT_MIR_SW-W/RETRA_AUTO_MR","P","0.35"
"TO_152_F/141_LH","","17","","EQ_FR_DOOR_SP_L_-","V","1.25","MC148095"
"TO_152_F/141_LH","","20","",""
"TO_152_F/141_LH","","27","","EQ_OUT_MIR_SW-W/RETRA_AUTO_VL","B","0.35"
"TO_152_F/141_LH","","21","",""
"TO_152_F/141_LH","","28","","EQ_D/L_MTR_F/L-LHD_CTYL","R","0.13"
"TO_152_F/141_LH","","3","","TW_CERTIFICATION_ECU_282","W","0.35","MC137628"
"TO_152_F/141_LH","","7","","DOUBLE_LOCK_ECU_0244","V","0.35"
"TO_152_F/141_LH","","8","","EQ_PDB_MR-","B","0.35"
"TO_152_F/141_LH","","14","","EQ_BODY_ECU_UL3","G","0.13"
"TO_152_F/141_LH","","19","",""
"TO_152_F/141_LH","","25","",""
"TO_152_F/141_LH","","11","","EQ_BODY_ECU_M1","L","0.35"
"TO_152_F/141_LH","","4","","TW_CERTIFICATION_ECU_283","L","0.35","MC137628"
"TO_152_F/141_LH","","9","","EQ_BODY_ECU_L2","V","0.35"
"TO_152_F/141_LH","","22","","EQ_OUT_MIR_SW-W/RETRA_AUTO_HL","B","0.35"
"TO_152_F/141_LH","","23","","EQ_FR_DOOR_SP_L_P","P","1.25","MC148095"
"TO_152_F/141_LH","","18","","EQ_METER_LL","B","0.5"
"TO_152_F/141_LH","","24","","EQ_OUT_MIR_SW-W/RETRA_AUTO_MF","L","0.35"
"TO_152_F/141_LH","","1","","SIG_GND_AND_ILL-","W-B","0.13"
"TO_152_F/141_LH","","10","","EQ_BODY_ECU_LSFL","GR","0.13"
"TO_152_F/141_LH","","6","","TW_CERTIFICATION_ECU_296","G","0.35","MC137641"
"TO_152_F/141_LH","","12","","EQ_BODY_ECU_M2","L","0.35"
"TO_152_F/141_LH","","5","","TW_CERTIFICATION_ECU_295","R","0.35","MC137641"
"TO_152_F/141_LH","","15","","EQ_PDB_MRP","B","0.35"
"TO_141_LH_F/171","","45","","BODY_ECU_0258","LG","0.35"
"TO_141_LH_F/171","","37","","CANFD_DS_BUS2_LO","W","0.13","MC137240"
"TO_141_LH_F/171","","40","","CANFD_DS_LOCAL1_BUS_HI","B","0.13","MC137261"
"TO_141_LH_F/171","","39","","CANFD_DS_LOCAL3_BUS_LO","W","0.13","MC125307"
"TO_141_LH_F/171","","1","","EMB_DVR_ECU_045","W","1.0","MC142272"
"TO_141_LH_F/171","","27","","EQ_OVER_HEAD_CONSOLE_SW_P-AB","B","0.35"
"TO_141_LH_F/171","","17","","GND_FUL_DISP_IN_MIR_E","W-B","0.35"
"TO_141_LH_F/171","","43","","CAN_I_BUS_LO","W","0.13","MC137412"
"TO_141_LH_F/171","","3","","EQ_PDB_B-5","B","0.35"
"TO_141_LH_F/171","","14","",""
"TO_141_LH_F/171","","10","",""
"TO_141_LH_F/171","","28","","EQ_OVER_HEAD_CONSOLE_SW_PAON","W","0.35"
"TO_141_LH_F/171","","46","","BODY_ECU_0275","P","0.13"
"TO_141_LH_F/171","","49","","DCM_0349","L","0.35"
"TO_141_LH_F/171","","22","","METER_0001","R","0.35"
"TO_141_LH_F/171","","4","","CANFD_DS_BUS1_HI","B","0.13","MC141136"
"TO_141_LH_F/171","","50","","DCM_0350","GR","0.13"
"TO_141_LH_F/171","","6","",""
"TO_141_LH_F/171","","24","","CERTIFICATION_ECU_1002","L","0.13"
"TO_141_LH_F/171","","48","","TSS3_CAMERA_0301","R","0.13"
"TO_141_LH_F/171","","42","","CAN_I_BUS_HI","B","0.13","MC137412"
"TO_141_LH_F/171","","51","","DCM_0355","P","0.35"
